Number,VID,Unit,Format,Comment,


Module Name : CTC,
    1),         1,        __,        AV[1],Date_And_Time,

    2),         2,        __,         A[10],Online_Mode,

    3),         3,        __,         A[10],User_Level,

    4),         4,        __,         A[18],User_ID,

    5),        11,        __,         L[1],List_of_Alarms_Enabled,

    6),        12,        __,         L[1],List_of_Alarms_Posted,

    7),        13,        __,         L[1],List_of_Events_Enabled,

    8),        14,        __,         L[1],List_of_Process_Name_Executed,

    9),        15,        __,         A[10],Previous_Process_State,

   10),        16,        __,         A[10],Process_State,

   11),        21,        __,         U[4],Spool_Count_Actual,

   12),        22,        __,         U[4],Max_Spool_Transmit,

   13),        23,        __,        AV[1],Spool_Full_Time,

   14),        24,        __,        AV[1],Spool_Start_Time,

   15),        31,        __,         I[4],Alarm_ID,

   16),        32,        __,         U[4],Event_Limit,

   17),        33,        __,         U[4],Limit_Variable,

   18),        34,        __,        AV[1],PP_Change_Name,

   19),        35,        __,         U[1],PP_Change_Status,

   20),        41,        __,        AV[1],Engineer_Call_Message,

   21),        42,        __,         U[1],Online_Status_Int_Type,

   22),       100,        __,         U[1],PortID,

   23),       101,        __,         A[20],LoadPort_CSTID,

   24),       102,        __,         A[20],LoadPort_LOTID,

   25),       103,        __,         A[20],LoadPort_PPID,

   26),       104,        __,         U[1],LoadPort_Cassette_Status,

   27),       105,        __,         U[1],LoadPort_Clamp_Status,

   28),       106,        __,         U[1],LoadPort_Foup_Position_Status,

   29),       107,        __,         U[1],LoadPort_Foup_Door_Status,

   30),       108,        __,         U[1],LoadPort_Slot_Assigned,

   31),       109,        __,         U[1],LoadPort_Slot_Processed,

   32),       110,        __,         A[30],LoadPort_Slot_Map_Info,

   33),       111,        __,         U[1],LoadPort_Slot_Mapped,

   34),       112,        __,         L[0],LoadPort_Slot_Info_List,

   35),       113,        __,         A[10],LoadPort_Location_ID,

   36),       114,        __,         A[14],LoadPort_Lot_Start_Time,

   37),       115,        __,         A[14],LoadPort_Lot_End_Time,

   38),       116,        __,         L[0],LoadPort_Slot_Module_History,

   39),       117,        __,         A[10],LoadPort_Status,

   40),       118,        __,         L[0],LoadPort_Cassette_Map_List,

   41),       119,        __,         U[1],LoadPort_Slot_Skipped,

   42),       121,        __,         U[1],SlotID,

   43),       122,        __,         A[20],Location_ID,

   44),       123,        __,         A[10],Material_ID,

   45),       124,        __,         A[10],Material_Type,

   46),       125,        __,         A[20],LotID,

   47),       126,        __,         A[12],PPID,

   48),       127,        __,         L[0],Slot_Module_History,

   49),       128,        __,         L[0],Slot_Process_History,

   50),       129,        __,         L[0],Slot_Module_Process_History,

   51),       130,        __,         A[14],Slot_Start_Time,

   52),       131,        __,         A[14],Slot_End_Time,

   53),       200,        __,         A[20],E40_PJOBID,

   54),       201,        __,         U[1],E40_PJOB_STATUS,

   55),       202,        __,         A[20],E40_PJOB_RECIPE,

   56),       250,        __,        AV[1],E87_CARRIERID,

   57),       251,        __,         U[1],E87_ACCESS_MODE_STATUS,

   58),       252,        __,         U[1],E87_CARRIERID_STATUS,

