// Input(Value)    			        Value (Torr)
1638.3                              0.00001
2131.4283                           0.00002      
2419.7691                           0.00003      
2624.5566                           0.00004      
2783.4717                           0.00005      
2912.8974                           0.00006      
3022.6635                           0.00007      
3117.6849                           0.00008      
3201.2382                           0.00009      
3276.6                              0.00010       
3769.7283                           0.00020       
4058.0691                           0.00030       
4262.8566                           0.00040       
4421.7717                           0.00050       
4551.1974                           0.00060       
4660.9635                           0.00070       
4755.9849                           0.00080       
4839.5382                           0.00090       
4914.9                              0.00100         
5408.0283                           0.00200         
5696.3691                           0.00300         
5901.1566                           0.00400         
6060.0717                           0.00500         
6189.4974                           0.00600         
6299.2635                           0.00700         
6394.2849                           0.00800         
6477.8382                           0.00900         
6553.2                              0.01000        
7046.3283                           0.02000        
7334.6691                           0.03000        
7539.4566                           0.04000        
7698.3717                           0.05000        
7827.7974                           0.06000        
7937.5635                           0.07000        
8032.5849                           0.08000        
8116.1382                           0.09000        
8191.5                              0.10000       
8684.6283                           0.20000       
8972.9691                           0.30000       
9177.7566                           0.40000       
9336.6717                           0.50000       
9466.0974                           0.60000       
9575.8635                           0.70000       
9670.8849                           0.80000       
9754.4382                           0.90000       
9829.8                              1.00000      
10322.9283                          2.00000      
10611.2691                          3.00000      
10816.0566                          4.00000      
10974.9717                          5.00000      
11104.3974                          6.00000      
11214.1635                          7.00000      
11309.1849                          8.00000      
11392.7382                          9.00000      
11468.1                             10.0000     
11961.2283                          20.0000     
12249.5691                          30.0000     
12454.3566                          40.0000     
12613.2717                          50.0000     
12742.6974                          60.0000     
12852.4635                          70.0000     
12947.4849                          80.0000     
13031.0382                          90.0000     
13106.4                             100.0000    
13599.5283                          200.0000    
13887.8691                          300.0000    
14092.6566                          400.0000    
14251.5717                          500.0000    
14380.9974                          600.0000    
14490.7635                          700.0000    
14549.7423                          760.0000 
14585.7849                          800.0000
14744.7                             1000.000 
16383.0                             1000.000   
